Dialetto,Italiano
motivo,"motivo;  cagione;  ragione,"
mòto,mòto  ne'  vari  sensi:  movimento;
portamento.  Al  m.,"a  quel  che  pare,  ai"
vedere.  Aver  en  bel  m.,bel  portamento;
éin  voi  tura.  Far  m.,camminare  all’a¬
"perto,  far  moto.  M.  perpetuo",che  non
mòver,"muovere  ne  vari  sensi  :  spingere,"
-  muovere  il  c.  Afoverse,cominci  ore  et
No  poderse  gnanca  m.,non  potersi  nean¬
me  movo  gnatica,manco  mi  scrollo  (a
movimént,movimento;  mossa;  commo¬
mozión,"mozione,  proposta,  proposito,"
mozeta,mozzetta.
mozo,mozzo  (di  stalla).
*mucèl.  mucét,"mucehietto,  muochierèllo."
*muciar.,V.  enmuciar.
♦mucio,"mucchio  ;  gran  quantità,  monte,"
moltitudine.  M.  e  mostra,quest  è  la
Cedi/sio).  Tuli  ’»  Un  m.,stretti  pigiali.
fa  ut.,"lutto  fa,  a  granello  a  granello"
muco,"m ucco,  donde  muccoso,  muccosità."
muda,"muta;  cambio,  turno;  Darsela  ni."
de  cavai  etc.,muta.
muda,muda  (degli  uccelli).  User  en  ni.
en  in.,mettere  alla  muda  ( stanzetta  da  ciò).
■  mudada,muta  (di  palle  etc.).
♦mudanza,"mutazione;  innovazione,  novità."
mudar,"mutare,  cambiare;  innovare;  va¬"
mutabile  etc.  Mudarne,"mutarsi  (degli,"
mufa,"mafia,  donde  muffoso,  muffosità;"
g’ha  la  m.,"muffito,  ammuffito;  fun¬"
ghito.  dopar  la  m.,"muffare,  funghire."
Odor  de  in.,"muffa,  tanfo.  Saver  de  vi,"
-  saper  di  mufla.  Sito  pica  de  m.,"fungaia,"
mufeta,"muffetta,  muffolinn."
mufirse,"muffare,  infunghire."
*mufo,"sguaiato;  insulso,  melènso,"
mugli,mugo  (sorta  di  pino).
mùger,V.  brùier.
mul,"mulo:  anco  fig.  per  ostinato,  coc¬"
"ciuto,  più  forte  caparbio.  Da  m.",mu¬
lesco.  Et  vers  del  ni.,"tignare,  rigno."
"Aver,  far,  vegnìr  et  ni.","incocciarsi,  in¬"
caparbire.  Dur  come  ’n  m.,testardo
com’un  mulo.  Ostinazión  da  vi.,mu¬
mula,"(sóst.)  mula;  ernia,  allentatura."
*mula  (agg.),capra  zucca  (cioè  senza  corna).
mulét,"muletto,  mulotto."
multa,"multa;  ammenda,"
mumia,"mummia,  anco  fig.  per  uomo"
muni<;ipàl,"municipale,"
municipi,"municipio,"
munizión,"munizione,  provvisione,"
mur,"muro,  ptur.  muri  ;  di  città  o  for¬"
"en  malta,  de  divistoli,  maestro","a  secco,"
coi  muricciòli.  Dar  la  testa  nei  ni.,di¬
Far  i  mitri  de  ita  casa  etc.,murare.
muracchiare.  Meter  uno  al  m.,costrin¬
Meter  le  spalo  al  m.,"aver  buona  difesa,"
Stabilir  en  ni.,"piallettare,"
muradór,V.  murar.
muradura,"muratura,"
murata,muraglia  ;  cortina  { tra  un  baluardo
tnuraión,muraglione.
'murar,muratore.
muredèl,muricciòlo  (su  cui  si  può  sedere).
murét,"muretto,  muricello."
"spot,  M.  duro","faccia  tosta,  grinta  dura,"
soluto.  Dar  doni  et  ni.,"imbattersi,  intop¬"
rintuzzare  (co'  fatti).  Dirle  sul  tu.,dille
Farla  su!  ni.,"farla  sfacciatamente,  sul"
"muso.  Far,  meter  sull  ni.","avere,  fare,"
ni.,smettere  il  biondo.  .1  fuso  nireo  -
ut.  avanti,"cader  bocconi,  dar  del  naéo"
per  terra.  Per  el  so  bel  in.,"itoli,  per"
Romper  el  m.,"minacc.  rompere  il  muso,"
musa,"ragazza,  donna  mal  educata,  eiuca,"
musa,rotto  attaccàgnolo  girevole  di
m  usar,mussare  donde  mussati  le  (di  vini  etc.) .
musaròl,"gabbia,  museruòla,  (che  si  mette"
musartela,museruola  (de’  cani).
musat,musetto  ;  visetto.
muscio,"musco,  borraccina  (pianta),  don¬"
mùscol,"mùscolo,  donde  muscoloso."
muscoladura,muscolatura.
musèo,musèo.
"musét,  muàetin","musino,  musetto,  nni-"
mùsica,"musica,  donde  musicale,  musi¬"
"nanti,  pecunia.  Bruta  ni.",musicaccia.  .1/.
de  gali,baccano  notturno  fatto  per  iti-
musicante,"musicante,  musicista,  musico,"
musicheta,"musichetta,  musichina,"
musicóta,"musicuccia,"
musin,V.  muse't.
‘muslna,salvadanaro;  grùzzolo.
muso,V.  litui.
"mùsola,  musolina",mussolina.
*musolln,"moscerino,"
musón,"muso,  musone  ;  chi  fa  il  muìo,"
mut,"muto,  mutolo;  taciturno,  silenzioso."
Veser  in.,mutezza.  Èl  làser  a  posta
come  ’n  m.,mutismo.
‘mutegón,"cupo,  sornione,  soppiattone,"
mutilar,"mutilare,  stroncare,"
mutria,"muso,  ceffo  ;  muso  serio  musone! ia  ;"
mutuar  (neot.),"dare  a  prestito,  a  mùtuo."
mùtuo  (ncol.),"prèstito,  mùtuo  (di  danaro) ,"
n’,"artic.  indetcrm.  match,  dinansi  a  vo-"
Eni)  uno.  N'om,un  uomo.
n’,artic.  indeterm.  femm .  dinansi  a  voc.
un*.  N'ànedra,un’  ànatra.
’n  vài,non  ne  voglio  :  gite  ’n  o  giteti
darò,glie  ne  o  gliene  darò.  V.  en  ne.
na,art.  ind.  femm.  din.  a  voc.  incom.  per
*nacia,"cardo,  scardasso  ( quello  che  si"
♦naciada,cardata.
♦naciadura,"cardatura,  scardassatura  (o-"
*naciar,"cardare,  scardassare.  Quel  che  se"
nacia  en  te  na  volta,cardata.
"♦naciar,  naciaro","cardatore,  scardassatore,"
nadàl,"Natale,  Ceppo.  Regàt  de  X.  -"
naf  (sing.  e  piar.),"nave  donde  navale,"
n.,"naufragio,  naufragare,  con  nàufrago."
*naia.  Sol  a  la,"nella  milizia,  sotto  le"
"Far  «.,  le  ttar  en  n.","far  la  nanna,"
n.,"far  la  ninna  nanna,  ninnare."
"nana,  nanarèla","nana,  nanarèlla,  naneròt-"
"nano,  nanarèi",nano  etc.  ir.  nana  sùbito
*naón,fittone.
*napoleón,nomìgnolo  di  chi  ha  il  naso
"napoleón  d' ariènt,  d’ oro",moneta  da
nàpoli,"nasone,  nasaccio  (grande),  nappa"
napolitana,napoletana  (al  gioco)  ;  N.
suta,"napoletana  secca,  asciutta."
*nar,"andare,  ne’  vari  sensi:  camminare,"
corso  (di  monete').,"In  più  casi  fornii,"
o  nel  partic.  passato  ito.,(Sito)  en  do'
se  poi  n.,accessibile;  il  contrario  inacces¬
"sibile.  Andò,  (n’  om,  n’  afar)","andato,  fi¬"
va,"per  bene,  a  modo  e  a  verso,  come"
come  va  ?  Coni '  eia  nada  ?,coni'  è  andata?
Far  n.  cn  negozi,"condurre,  tenere.  Im"
và  de  peto/òti,"va  debolmente,  maluccio,"
"nude,  senza  fortuna.  La  va  de  seda",va
La  va  lì  li,"là,  là,  coàì,  così.  è  nà  a"
Mar  al  forni,"affondarsi,  sommergersi,"
a  la  sorte,"alla  ventura,  alla  sorte  ;  al  bosch  -"
impoverire  ;  a  ma sòn,andare  a  pol¬
"laio,  appollaiarsi  ;  a  mont","andare,  man¬"
dare  a  monte  ;  a  pc,"a  pièdi  ;  a,  de"
risciò,"correre  il  rischio,  risicare  ;  a"
sguinzón,"girandolare,  bighellonare,  star"
bighelloni;  tf.  ben,"andare,  star  bene;"
battili,"andar  bene,  esser  preciso,  spac¬"
r  dare  col  secolo;  ile  còrp,"evacuare,  an¬"
dar  di  corpo.  N-  de  mal,andare  a  male
girare  (del  vino).  N.  de  pipa,andare  a
pennello;  de  vita,"andare  a  genio,  a"
sangue;  ai  acqua,"sciogliersi,  liquefarsi;"
en  br'o  de  viole,"anelare  in  sollùchero,"
o  di  giùggiole;  cn  funi,"andare  in  fumo,"
impazzare  (del  latte)  :  en  somensa,tal¬
"lire,  sementire  ;  en  su","risalir  la  valle,"
"montare,  salire;  en  io",scendere  (nella
valle.  N.  fòr,uscire;  sgusciare  (scorren¬
"N.  per  acqua,  per  viti  etc.","andare  per,"
ranta  etc.  (ani),andare  per  i  trenta  eie.;
per  sora,"dar  di  fuori,  traboccare;  sora"
carire.  M.  via,"andarsene,  andar  via,  par¬"
tire;  via  coi  ànioi,"andare  in  èstasi,  in"
visibìlio;  via  co '  la  lesta,commettere  una
"dimenticare  ;  via,  n.  via  da  mèi",spez¬
casa,scasare  (p.  e.  stettero  dicci  anni  a
"zirei,  N.  io  come  le  mosche","morire,  pe¬"
qervil,"andar  fuor  di  senno,  ammattire,"
moda,andar  giù.  passar  di  moda  ;  io
de  quarta,"andare  in  còllera,  iu  furia,  in"
"bestia,  arrabbiare;  io  la  voi, e",perder  la
far  nar  io  le  ore,"notarsi,  tediarsi,"
la  vaga,a  tutto  andare.  En  n.  e  vegnir
viti,"intermittente,  (febbre,  sorgènte  ."
lih’  è  da  ti.,"siamo  ancor  lontani,  c’  è"
che  ire.  Lasar  it.,"lasciar  cadere  in  terra,"
lasciar  ire.  Lasarse  n.,lasciarsi  andare  o
mal  che  la  vaga,"per  male  che  vada,  al"
quando....,scontare  (p.  e.  i  piaceri  che
godette  ora  li  sconta).  Vago  e  regno,torno
"torno.  Va  là,  va  pur  là","va  là,  va  pnr"
"là.  Sì,  va  là  che  regno  (inm.)","lacilmente,"
a  bere  un  ovo.  Ar.  come  7  reni,andar
e  chi  no  voi  manda,"chi  vuole  vada,  e"
’  narànz  .  arancia.  Chi  vende  naranze,a-
ranciaio.  Co! ór  n .,"arancio,  aranciato,  più"
*naranzada,aranciata.
*naranzàr,arancio.  Sera  de  naramari  -
narls,narice.
nas,"tasso,  nasso,  albero  della  morte,"
nas,"naso,  anco  per  odorato,  olfatto.  /"
busi  del  ».„•,"narici,  buchi  del  n.  ;  la"
che  p/sa  ’«  boca,"appuntato  e  ricurvo ,"
"come  un  patata,  en  peveràn",bernocco¬
"voltato  in  sti,  rabbuffato;  schis",schiac¬
"ciato,  rincagnato;  stropà","intasato,  tap¬"
pato.  Aver  bon  nas,"esser  sagace,  in¬"
del  n.,"dover  credere  eli' evidenza,  toccar"
con  inano.  Co/p  de  n.,nasata.  Dar  dent
el  n.,"intoppare,  abbattersi;  se  spesso,  in¬"
toppicare.  Dar  el  n.  (en  tera),"battere,"
su!  n.,"reprimere,  rimettere  in  riga,  al"
in  un  merdaio.  Menar  per  el  n.,ag¬
al  n.,"impermalirsi,  stizzirsi,  montar  la"
mosca  al  naso.  Parlar  en  te  'In.,par¬
restar  lì  con  toni  de  n.,"restar  delusi,"
"mese.  Sojiarse ,  neiarse  7  ».","soffiarsi,"
nettarsi.  Stòrler  el  n .,"sdegnarsi,  torcere"
nel  ».,voce  nasale.  A  t aiarse  7  ».  s’en-
sànguina  la  boca,chi  diffama  i  suoi  of-'
nasa,nassit  (de'  pesca/ori).
nasàz,"nasaccio,  nasettaccio."
nascòrzerse,rasi.  V.  aebrierze.
naser,"nàscere,  ne'  vari  sensi;  venire  al"
levarsi.  User  nat  co'  la  camìsa,esser
do  un  r è  nat,"città,  luogo  natale,  na¬"
nasin,"nasino,  nasetto,"
nàsita,"nàscita;  nascimento;  principio,  o-"
*nasofio,nasìcchio  ( piccolo  e  curioso).
naàón,"nasone,  nasaccio,  nasettaccio;  na-"
nasót,nasnecio.
nastrln,nastrino.
nastro,nastro.  Chi  fa  o  vende  nostri  -
nata,natta;  tumore.
natalizi,natalizio.
natività,natività  (feste  religiose).
nativo  (neol.),"nativo,  originario."
natura,"natura;  qualità,  condizione.  En  ti."
natura,naturalista.
naturai  (agg.),"naturale,  òvvio,  semplice."
naturai  (sost.),naturale;  indole;  costi¬
naturaléza  \neol.),"naturalezza,  spontaneità,"
naturalizar  (neot.),"naturalizzare,  dar  la"
naturalmént,"naturalmente,  senza  sforzo,"
nàusea,"nàusea,  schifo  ;  avversione,  ri¬"
pugnanza.  Che  fa  ».,"nauseante,"
nausear,"nauseare,  far  schifo;  ripugnate,"
navada,navata.
navegar,"navigare  anco  per  reggersi,  go¬"
se  poi  11.,navigabile  donde  navigabilità.
farle  del  n.,nàutica.  N.  en  cathee  ac¬
que,"esser  ridotto  in  condizioni  difficili,"
navesèla,"spola  (de’  tessitori),  navetta"
navigà.  Om,"uomo  esperto,  esperimcnlato."
navigante,"navigante,  navigatore,"
navigar,V.  noverar.
navìgazión  (neot.),"navigazione,"
nazión,"nazione  ;  popolo  gènte,"
nazionàl,"nazionale;  paesano,"
nazionalità,"nazionalità  ;  italianità,"
ne  {proti .),"a  noi,  ci,  ne."
"ne  (pati,  proti.)",ne.  Si  accorcia  in  n
"dopo  ghe :  dàghen,  ghen  darò","dàgliene,"
nèh?,"non  è  vero?,  n’è  vero?"
nébia,nébbia;  oscurità;  'negli  occhi  neb¬
biosità.  Pica  de  ».,nebbioso.  Totip  de
/a  ».,nebbiaio.
nebiaza,"nebbiaccia,  nebbione,"
nebieta,"nebbiotta,  nebbiolina."
neifesari  (aggi),"necessario;  bisognevole,"
neqesari  (sost.),"luogo  comodo,  cesso,  ne¬"
necesariamént,"necessariamente,  di  ne¬"
ne<;esarìsim,"necessarissimo,  indispensabile,"
ne9esitar,"necessitare,  abbisognare,  esser"
nef  (sing.  e  plttr .),neve.  N.  set  ila  e  rèni  -
nevischio.  Cairi  de  stagton  de  n.,ne¬
baie  de  ».,"fare  alla  neve,"
nefandità,"turpitùdine,  nefandìtà,  scel-"
nefando,vituperoso;  nefando;  scellerato.
*negà,"bagnato  (spec.  di  pioggia i,  fràdicio,"
♦negada,"gran  bagnata,  infradiciata,  dopar"
na  ».,"pigliarsi,  beccarsi  un'infradiciata,"
negar,"negare  ;  smentire,  disdire,  rifiutare,"
negarse,"affogare,  annegarsi  ;  bagnarsi"
negativa,"negativa;  rifiuto,"
negativamént,"negativamente,  negando,"
negativo,"negativo;  opposto,  contrario,"
negazión,"negazione,  il  negare,  diniègo,"
negligentar  (neot.),"trascurare,  uegligentare."
negligente,"negligènte,  sbadato,  indolènte,"
negligentón,"negligenlone,  negligentaccio."
dataggine;  indolènza.  Con  ».,negligen¬
negòzi,negòzio  (affare  e  bottega)  ;  af¬
negoziante,"negoziante ,  commerciante,"
negoziar,"negoziare,  commerciare,  traf¬"
negoziét,"negozielto,  affaruccio."
negoziòn,"negozione,  affarone,  ailare  lu¬"
negrara,"sorta  d’uva  ?  dì  vitigno,  morene."
negriòl,"nerógnolo,  moreltino;  bruno,"
negri  zar,V.  engrenizar.
negro,"nero,  oscuro;  bruno,  cupo.  Che"
tino.  Eser  n.,"essere  spiantato,  abbruciato  a"
parò/,"nero  come  il  carbone,  la  filiggine,"
negro  (su  la  pel),"livido,  lividura,"
negrofùm,"nerofumo,"
nel.  nela,"nel,  nella,"
"nemico,  nemigo  (plur.  nemici)","nemico,"
nèmol,susina  [tonda)  N.  de  Marsiglia  -
nemolar,susino.  V.  bntgnara.
nènia,"nenia  ;  noia,  tedio,"
nèo,nèo.
*neoda,V.  nèza .
"*neodàt,  neodata","nipotino,  lupolina."
nèrv,"nèrvo;  nèrbo,  forza,  robustezza."
i  n.,"dare  ai,  urtare  i  n.  anco,  jig.  per"
b'o,"nèrbo,  donde  nerbare,  nerbata,"
nervadura,nervatura.
"nervét,  nervetln","nervelto,  nervolino,"
nervóà,nervoso;  nevròtico.
nès,"nèsso,  connessione,  legame;  corre¬"
nesì?,"non  è  vero?,  n’è  vero?,  vero?"
nè  si  ne  no,"qualche  poco,  un  pochino,"
nèspol,"nèspola,"
nespolàr,"nèspolo,"
nespolòt,nespolina.
nesun,"nessuno  (di  persona  e  di  cosa),"
nesunisim,"nessuno  affatto,  nessunissimo,"
nèt,nètto  ne’  vari  sensi:  pulito;  puro;
dagno  etc.  netto.  Acqua  lieta,acqua  pu¬
"lita,  chiara.  Cavarsela  lieta","cavarsela,"
Farla  itela,operar  male  -salvando  le
poni,pulito  com  un  dado  ;  irò  a .  coni*  un
netada,"pulita,  ripulii;1!  ;  lavanda  ( spec ."
netadura,net  tatui  a  (d’erbaggi  eie.)  ;  pu¬
netapene,"nettapenne,"
netar,"pulire  (il  più  generale,  di  vestiti,"
ncteza,"nettezza,  pulizia,  mondezza."
*netisia.,V.  neteza.
netùno,"antic  dio  del  mare,  Nettuno"
neutràl  Infoi.),neutrale  donde  neutralità;
nev.,V.  nef.
nevegada,nevata.
nevegar,"nevicare,  far  neve.  N.  con  vcnl."
nevèra,"nevata  ;  nevaio,"
nevó,V.  ned.
nevodaria,"quantità  di  nipoti,  nipoteria."
nevodin,nipotino.
nevralgia  [neol.),nevralgia.
nlbia,"nébbia;  delie  piante  nebbia,  uggia."
nèza,nipote  (f e  intuì.).
nibià,"strizzato,  intristito  dalla  nebbia,"
nibiadèl,"sparutèllo,  stentino  ;  imbozzac¬"
"nibiar,  nibiarse","strizzare,  intristire  che"
♦nlcéta,nicchiclta.
♦nicia,"nicchia,  incavatura."
♦nicio,"nicchia  ;  nido;  covo.  User,  star  nel"
só  n.,"nella  sua  nicchia,  al  suo  posto."
nif.,V.  niv.
nimiqtzia,nemicizia.  avversione.
*nina,"briciola,  minuzzolo,  zinzino."
"ninada,  ninadina","cullata,  cullatina."
nina  nana.,V .  nana.
nìnar,"cullare  ;  cantando,  ninnare  ;  don¬"
*ninaròl,arcione  ( della  culla).
nino,"nini,  nino  (vezs.  di  bambino)."
♦ninolar,"tentennare,  oscillare,"
"nisùn,  nisuni.",V.  nesùn.
*niv,"nido;  covo;  covàcciolo,  cosino  (de'"
canarini )  :  nidiata.  Da  n.,"da  nido,  ni¬"
diace.  Far  cl  n.,"lare  il  nido,  nidificare."
*nivada,"nidiata  anco  per  raccolta,  radu¬"
*nivaròl,nidiace.
vero.  Dir  de  no,"rispondere  di  no,  dir"
"di  no.  negare,  rifiutare.  En  bel  no",un
bel  no.  Far  de  no,"accennare,  far  di  no."
ma,"non  dico  di  no,  non  nego,  ma...."
"Se  no,  no","se  no,  no.  Sior  no  (contad.)  -"
no,non.
nòbile,"nòbile,  donde  nobilesco.  Far  n.  -"
nobilitare.  In.,"i  nobili;  la  nobilèa  ,"
(spreg.)  N.  da  gnènt,nobiluccio.
nobiltà,"nobiltà  (titolo  c  ceto)-,  nobilume,"
nobilèa  spreg.  del  celo.  N.  del  gaia,fit¬
*no<;ènt  (rnst.),"innocènte;  ingènuo,  sem¬"
*no<;entin,innocentino.
‘no<;enza,"innocènza  ;  ingenuità,  semplicità,"
nò  che,e  come  !  eccome  !
nocivo,"nocivo,  dannoso,"
nodadór,nuotatore.
nodar  (sosti),notare.  Seri/  da  ’«  n.  -
notarile.  Profcsiàn  del  n.,"notariato,"
nodar  (verbo),nuotare;  galleggiare.  N.  ne!
"gras.  nel  hrò  gras,  ne  l'oro",nuotare  nel
nòdo,"nuoto,"
nòdo,"nodello  (di  canna),"
noè.,V.  vedo.
nòf.,V.  nbtv.
"noialtri,  noialtre.  /  nosi  noi  (schert.)",i
noia,"noia,  uggia,  tedio;  fastidio.  Parar"
via  la  n.,"sbattere,  cacciare  la  noia,  l’uggia,"
noiar,"annoiare,  noiare,  uggire,  infastidire."
JVoiarse,"annoiarsi  etc.  avere  a  noia,  in"
noiòs,"noioso,  tedioso,  fastidioso,  stuc¬"
nói,"nòlo  (pagamento  c  prezzo ),  noleggio"
tòr  a  n.,"dare,  prendere  a  nolo."
"""nolesin",chi  dà  cavalli  a  nolo  vetturino;
nolezar,noleggiare;  noleggio.
"nòni,  nóme",nome  ;  denominazione.  Senza
nome,"anònimo  (autore,  scritto).  Un"
che  no  se  dii  el  n.,innominato.  Che  g'ha
1  istcs  n.,"omònimo,  donde  omonimia."
^  che  se  mete  'fi  vece  del  so,pseudò¬
"nimo.  N.  fals,  fiat","falso,  finto  nome."
Cambiar  e!  n.,ribattezzare.  Me'ler  a  ’n
bambin  el  n.  del  nono  eie.,rifare  il  no¬
me  del  nonno  etc.  En  n.  de  Dio!,per
nomina,"nòmina  ;  rinomanza,  nomèa  (an¬"
nominà,"riputato,  rinomato,  famoso,  cèlebre,"
nominar,nominare;  eleggere  ;  citare.  Che
no  se  poi  n.,"innominabile,"
nòmine  patris.  Patir  nel,esser  tocco  o
nòna,"ava.  àvola,  cotnun.  nonna."
nòno,"avo,  àvolo,  connin.  nonno  ;  vezz."
nonnino.  I  nòsi  n.,"i  nostri  avi  o  nonni,"
non  ti  scordar  di  me,non  ti  scordar
nòra,nnòra.
nórma,"norma  donde  normale,  normal¬"
normale.  Scola,"scuola  elementare,"
"dovuto  a  noi,  il  nostro.  I  nasi",i  nostri
scussa.  La  scorza  de  la  n.,il  mallo;
"bacchiare,  bacchiare.  Chi  vende  n.",no-
ciaiolo.  Pan  e  n.  magnar  da.  spoi,Pane
*nosèla,nocciòla  (a  Lucca  nocèlla).  N.
*noselar,nocciòlo.
*noseléta,nocciolelta.
"nuòcere,  danneggiare.  Che  nò  pòi  n.",in¬
noseta,"noce  (del  piede)  ;  seleni,  mallèolo  ;"
"nosignór,  nosignora","nossignor,  nossi¬"
*nosiòi,cicérbita.
nós  noscada,noce  moscata.
nostran,"nostrale,  nostrano,  paesano;"
"nòt,  nòte","notte.  Che  se  fa,  che  succile"
"fonda,  cupa,  buia;  A.  n.  negra",notte
"guàl  n.,  sul  far  de  la  n.",sul  corniti-
notte.  Farse  n.,"farsi  notte,  annottare,  ca¬"
lar  della  notte.  Bona  nj  felice  nJ,"buona,"
sonadori!,"non  c’è,  non  si  dà  altro,  buona"
dal  di  a  la  n.,"gran  diversità,  córrerci"
en  qualche  sito,pernottare.  Chi  biro  de  n.
dormendo,"sonnàmbulo,  donde  sonnam¬"
marna  dei  penscri,la  notte  è  madre
nota,"nota  ve'  vari  sensi ;  annotazione,"
notar,"notare  ne'  vari  sensi:  segnare,"
Degno  d' eser  notò,"notabile,  donde  no¬"
notarela,"noterella,  nolicina."
notariato,"notariato,"
notarli,notarile.
notificar,"notificare,  annunziare,  bandire,"
notificazión,"notificazione,  annunzio,  av¬"
notizia,"notizia,  ragguaglio.  Bruta  n.  -"
notizièta,"notizietta,  noliziòla."
nòtola,nòttola  ;  pipistrello.
♦notomia,anatomia  (volg.  notomia)  ;  se¬
notòri,"notorio,  noto  a  tutti,  omle  noto-"
nòv,"nuovo;  inusitato,  insòlito.  De  n.  -"
luna  nova,"anno  nuovo,  luna  naovn,  no¬"
"strane,  di  nuove.  N.  de  bica",nuovo  di
nova,"questa  è  nuova,"
nòva,"notizia,  nuova,  novità.  Bona,  ca¬"
"leva,  calivisima  n.","buona,  cattiva,  tri¬"
novàl,noveio  (terreno  o  non  mai  lavorato
novanta,"novanta,  donde  novantèsimo.  Chi"
g'  ha  novanta  anni,"ehi  Ita  novant  anni ,"
novantanove,novantanove.  N.  su  cento
novantina,"novantina,"
novèl,"novèllo,  recente;  primaticcio  (frutto)"
novèla  (neol.),"novella,  racconto,  storia;"
novembre,"novembre,"
novena,novena.
novità,novità  anco  per  mutazione;  no¬
"tizia,  nuova.  Far  n.","mutare,  rimutare"
novìz,"novizio;  inesperto,"
noviziàt,noviziato;  tirocinio.  Pagar  el
n.,"pagare  il  noviziato,  imparare  a  pro¬"
novo,V.  nov.
"nòza,  nòze",nozze  (plur.);  le  cose  appa¬
recchiate  a  festeggiar  le  n.,"festa,  pranzo,"
a  n.,mettersi  allegramente  a  fare  di
nozeta,"nozze  semplici,  magre,  nozzoline."
nozión,"nozione,  cognizione;  dichiarazione"
nozona,"nozze  splendide,  pumpose."
nubile,"nùbile  ;  zittèlla,  zitellona,"
nud,"nudo,  donde  nudità,  nudamente,  i-"
nudità,nudità.
nùgol  e  sere'n,"all’improvviso,  inopina¬"
'nugola,"nùvola,  nube  {più  spesso  in  piar.),"
temporalesche' .  Nugole  a  lana,cielo  a
pecorèlle.  N.  dare,"nuvole  sparse,  leg¬"
"giere,  cielo  ragnato.  Quantità  de  n.",nu¬
"volata,  nuvolaglia.  .V.  de  funi","nuvola,"
eie.,"nùvolo,  nembo.  Cascar  da  le  n.  -"
Coèrierse  de  nugole,"annuvolarsi,  più  forte"
rannuvolarsi.  El  crepar  de  na  n,nubi¬
na,"aria  rossa  da  sera  buontempo  mena,"
*nugolarse,V.  cnnugolarse
*nugoléta,"nuvoletta,  nuvoletto."
*nugolón,"nuvolone,  nuvolata;  nembo,"
♦nugolona,"nùvolo,  nuvolone."
nulo,"inetto,  da  nulla  o  nullo  {uomo),  donde"
nùmer,"nùmero,  cifra;  qualità,  pregio."
Aver  molti  numeri,"aver  capaciti,  dottrina,"
meri  nel  capo.  En  gran  n.,in  gran  nu¬
nn,"eccellente,  insigne,  famil.  numero  uno."
numerar,"numerare,  contare;  donde  nu¬"
numeratór,numeratore  ( aritm .).
numeraziòn,"numerazione,"
numerizar,"numerare,"
numeròt,"numcretto,  spreg.  numeracelo."
nunziata,"Annuziata  volg.  Nunziata  ( chièsa ,"
nutriente,"nutriènte,  sostanzioso."
nutrimént,"nutrimento,  alimento  ;  man¬"
nutrir,"nutrire,  alimentare.  Che  nutrii  -"
nutritivo.  Ben  nutrì,"ben  nutrito,  ben"
nutrizión,"nutrizione,  alimentazione;  nu-"
o,"lettera  dell' alfabeto,  o."
o,"( cong .)  o;  ossia;  ovvero,  oppure,"
o,( vocativo )  o.
o!,oh!  ouf!
oha  !,voce  per  fermare  i  buoi  ohu!
obediènt,"ubbidiènte;  sottomesso,  disci¬"
obediènza,"ubbidiènza;  sottomessione,  di¬"
obedir,ubbidire;  sottomettersi;  otlempe-
obéso,"straordinariamente  pingue,  obéso;"
obiezión,obiezione  ;  eccezione.  Far  o.
"òbit,  òbito","funerale,  esèquie,  mortòrio,"
"òblig,  òbligo","obbligo,  dovere;  ufficio;"
condizione.  Che  porta  o.,"d  obbligo,  ob¬"
obligà,"obbligato  anco  per  grato,  rico¬"
obligante,obbligante;  serviziato.
obligar,"obbligare,  costringere;  impegnare."
Obbligarse,"obbligarsi,  impegnarsi  ;  pro¬"
obligatòri,"obbligatòrio;  doveroso,"
obligazión,obbligazione  ;  riconoscenza  ;
obrobri,"obbrobio;  infamia,  ignominia,"
òca,"òca  ( uccello  e  sorta  di  gioco),  anco"
vàdega,oca  granaiola  o  selvalica.  0.  iJ-
de  Lo.,"gracidare,  schiamazzare.  A  pè  d'o."
V.apè.  Col  d'o.,"collo  lungo,  collo  d’oca."
Vegnir  la  pél  d‘  o.,"venir  la  pelle  d’oca,"
de  L  o.,"gioco  dell’  oca,  anco  gener.  per"
a  Lo.,"è  compita,  accomodata  ogni  cosa,"
l'o.,"racconto  che  ripete  cose  dette  o  note,"
♦oca,arnese  rurale  per  rincalzare  rincalza¬
♦ocar,"bighellonare,  andar  bighellonando,"
ocaéión,occasione  ne'  vari  sensi :  incon¬
"tro,  congiuntura.  Dar  o.","dare  occasione,"
"àdito,  occasionare.  Per  o.","per  occasione,"
ocasionar,"occasionare,  causare,"
ocetin,occhietti  no  pegg.  occhiettuccio.
ocheta,ocherèlla;  sciocchimi.
♦ochezar,far  guadagni  rapidi  ( come
ociada,"occhiata,  sguardo,  guardata.  0."
ociadaza,"occhiataccia,  guardatacela,"
ocìadina,"occhiati»»,  guardatina."
ociai,"occhiali  ;  occhiali  da  naso,  lenti  (che"
*ocialar,"occhieggiare,  adocchiare  ;  curiosare,"
ociàlaro,"occhialaio  ;  òttico,"
ocialét,"occhia  letto,  vezz.  iron.  occhialino;"
*ocialón,"curiosone  ;  fiutone,"
ocialóni,"occhialoni,  scherz .  barèlle,"
ociara,"occhiaia,  scient.  òrbita,"
ociàz,occhiaccio.
serciàr,capòcchia.  FI  diane  de  V  ò.  -
lór  de  T  o.,scient.  iride.  La  scàtola  de
P  o.,occhiaia  scient .  òi  bita.  Chi  g'ha
croce.  A  ò.  nuda,a  occhio  nudo.  A  colpo
d’o.,"a  un’  occhiata,  di  primo  sguardo,"
